Wind Speed,average temperature,precipitation,snow fall,rating,wet,label
9.8049,1.388888889,0,0,7,0,7
6.6654,3.888888889,0,0,7,0,7
7.1162,11.66666667,2.286,0,5,1,15
3.7191,7.222222222,0.254,0,6,1,16
14.4739,4.166666667,2.794,0,7,1,17
20.5275,4.722222222,0,0,7,0,7
19.3039,12.22222222,0.254,0,5,1,15
17.4363,11.11111111,5.08,0,5,1,15
20.4148,9.444444444,0,0,6,0,6
17.0499,11.38888889,0,0,5,0,5
20.5114,11.94444444,0,0,6,0,6
17.6456,13.05555556,0,0,5,0,5
14.4095,15.27777778,0,0,5,0,5
10.7548,19.16666667,0,0,2,0,2
4.8622,17.77777778,0,0,3,0,3
2.3828,15,0,0,4,0,4
0.322,16.11111111,0,0,3,0,3
3.2522,21.38888889,0,0,1,0,1
3.0107,16.94444444,4.064,0,4,1,14
10.465,14.16666667,0,0,4,0,4
7.3416,15.27777778,0,0,4,0,4
9.5151,11.94444444,6.096,0,5,1,15
9.9981,12.22222222,0,0,5,0,5
13.685,11.94444444,0,0,5,0,5
11.5437,10.83333333,1.27,0,5,1,15
12.719,13.05555556,0,0,4,0,4
12.8961,8.888888889,4.064,0,5,1,15
0.6923,11.38888889,1.016,0,5,1,15
5.5384,11.94444444,15.494,0,5,1,15
5.2003,10,0.254,0,5,1,15
5.6189,10.83333333,0,0,5,0,5
4.7656,10.55555556,13.716,0,5,1,15
7.9212,12.22222222,0,0,5,0,5
9.7566,14.16666667,4.064,0,4,1,14
9.6922,16.66666667,0,0,4,0,4
14.49,13.61111111,0,0,4,0,4
20.3343,17.22222222,0,0,3,0,3
23.5865,20,0,0,2,0,2
22.2985,16.11111111,6.35,0,3,1,13
14.7154,18.05555556,0,0,2,0,2
14.49,11.38888889,0,0,5,0,5
14.7154,12.5,0,0,5,0,5
19.5937,14.44444444,0,0,4,0,4
14.8281,15.55555556,0,0,4,0,4
11.9784,17.5,0,0,2,0,2
11.5598,18.05555556,0,0,2,0,2
14.2485,15.55555556,1.016,0,4,1,14
11.2539,16.11111111,2.286,0,3,1,13
5.7799,19.44444444,0.508,0,2,1,12
2.6404,18.61111111,4.572,0,2,1,12
5.313,23.61111111,0,0,1,0,1
11.3827,26.38888889,0,0,0,0,0
3.6547,26.66666667,0,0,0,0,0
10.8675,27.5,0,0,0,0,0
6.5205,25.83333333,0,0,0,0,0
11.3988,23.88888889,41.91,0,1,2,21
9.66,25.55555556,0,0,0,0,0
15.9551,23.61111111,0,0,1,0,1
13.1698,21.11111111,0,0,1,0,1
13.1698,19.16666667,1.016,0,2,1,12
9.6761,23.61111111,10.16,0,1,1,11
11.2378,20,23.114,0,2,2,22
12.7029,23.33333333,0,0,1,0,1
10.6099,23.61111111,0,0,1,0,1
7.9534,15.27777778,11.43,0,4,1,14
2.5921,16.94444444,0,0,3,0,3
11.0124,19.44444444,0,0,2,0,2
9.1931,23.05555556,0,0,1,0,1
9.1609,22.5,0,0,1,0,1
9.2736,18.61111111,0,0,2,0,2
9.4507,20.27777778,0,0,1,0,1
11.0768,23.05555556,0,0,1,0,1
13.3791,20.83333333,5.588,0,2,1,12
14.1358,21.38888889,0,0,1,0,1
11.3183,23.33333333,0,0,1,0,1
9.177,25,0,0,0,0,0
14.168,23.33333333,0,0,1,0,1
14.2968,26.38888889,0,0,0,0,0
13.8299,25,0,0,1,0,1
14.007,24.44444444,0,0,1,0,1
15.4882,24.16666667,0,0,1,0,1
13.8782,23.88888889,0,0,1,0,1
14.4578,25,0,0,1,0,1
25.0194,23.88888889,11.43,0,1,1,11
27.37,22.22222222,3.048,0,2,1,12
22.218,23.88888889,0.254,0,2,1,12
23.5382,24.44444444,0,0,2,0,2
19.8996,22.5,21.082,0,2,2,22
17.5007,20.83333333,0,0,2,0,2
17.6939,21.66666667,0,0,2,0,2
19.5615,23.88888889,12.446,0,2,1,12
21.8155,25.27777778,16.764,0,1,1,11
17.2753,28.33333333,0,0,0,0,0
11.7691,28.33333333,1.016,0,0,1,10
11.0446,24.72222222,2.032,0,1,1,11
11.0607,20.27777778,13.462,0,2,1,12
7.2933,22.77777778,0,0,1,0,1
6.923,22.77777778,0,0,1,0,1
11.1734,23.88888889,0,0,1,0,1
10.3201,25.55555556,0,0,1,0,1
11.1734,26.94444444,15.748,0,0,1,10
14.007,28.61111111,0,0,0,0,0
7.2933,28.05555556,0,0,0,0,0
6.7298,27.77777778,0,0,0,0,0
7.889,28.05555556,8.89,0,0,1,10
